Type d'acte;Année;Arrondissement;Nombres
Naissances;2006;7ème arrdt;0
Naissances;2006;10ème arrdt;2312
Naissances;2007;1er arrdt;2
Naissances;2011;9ème arrdt;3
Naissances;2013;7ème arrdt;1
Naissances;2014;1er arrdt;0
Naissances;2019;18ème arrdt;2095
Naissances;2021;9ème arrdt;5
Naissances;2022;19ème arrdt;2839
Naissances;2023;16ème arrdt;975
Reconnaissances;2005;3ème arrdt;182
Reconnaissances;2005;19ème arrdt;1650
Reconnaissances;2007;18ème arrdt;1374
Reconnaissances;2008;16ème arrdt;298
Reconnaissances;2010;1er arrdt;68
Reconnaissances;2012;4ème arrdt;93
Reconnaissances;2016;20ème arrdt;840
Reconnaissances;2018;10ème arrdt;585
Reconnaissances;2020;1er arrdt;23
Reconnaissances;2022;17ème arrdt;462
Mariages;2004;9ème arrdt;329
Mariages;2004;10ème arrdt;634
Mariages;2004;19ème arrdt;1170
Mariages;2005;2ème arrdt;150
Mariages;2005;15ème arrdt;1101
Mariages;2006;3ème arrdt;235
Mariages;2006;7ème arrdt;284
Mariages;2008;2ème arrdt;112
Mariages;2008;18ème arrdt;784
Mariages;2009;2ème arrdt;118
Mariages;2009;7ème arrdt;259
Mariages;2009;10ème arrdt;428
Mariages;2009;12ème arrdt;508
Mariages;2010;2ème arrdt;132
Mariages;2011;13ème arrdt;680
Mariages;2011;17ème arrdt;498
Mariages;2017;17ème arrdt;518
Mariages;2020;19ème arrdt;503
Mariages;2021;2ème arrdt;0
Mariages;2022;5ème arrdt;299
Mariages;2022;7ème arrdt;283
Mariages;2022;8ème arrdt;220
Décès;2005;10ème arrdt;1414
Décès;2006;4ème arrdt;349
Décès;2006;5ème arrdt;533
Décès;2007;1er arrdt;44
Décès;2007;8ème arrdt;122
Décès;2007;13ème arrdt;1918
Décès;2009;4ème arrdt;301
Décès;2009;13ème arrdt;2056
Décès;2010;3ème arrdt;50
Décès;2013;17ème arrdt;389
Décès;2013;20ème arrdt;1134
Décès;2014;13ème arrdt;2042
Décès;2015;2ème arrdt;29
Décès;2015;19ème arrdt;1140
Décès;2016;15ème arrdt;3436
Décès;2018;9ème arrdt;105
Décès;2018;18ème arrdt;1628
Décès;2019;1er arrdt;27
Décès;2019;2ème arrdt;30
Décès;2020;14ème arrdt;2639
Décès;2020;20ème arrdt;1395
Décès;2021;5ème arrdt;315
Décès;2021;16ème arrdt;885
Décès;2022;2ème arrdt;23
Décès;2022;6ème arrdt;136
PACS;2017;1er arrdt;27
PACS;2017;18ème arrdt;208
PACS;2017;20ème arrdt;159
PACS;2019;1er arrdt;67
PACS;2019;12ème arrdt;703
PACS;2020;2ème arrdt;78
PACS;2022;9ème arrdt;268
PACS;2023;16ème arrdt;254
Changements de prénom;2017;6ème arrdt;13
Changements de prénom;2017;7ème arrdt;8
Changements de prénom;2020;5ème arrdt;14
Changements de prénom;2020;15ème arrdt;67
Changements de prénom;2021;12ème arrdt;78
Changements de prénom;2022;7ème arrdt;12
Changements de prénom;2022;10ème arrdt;56
Changements de prénom;2022;12ème arrdt;125
Changements de prénom;2022;14ème arrdt;74
Changements de prénom;2022;16ème arrdt;51
Naissances;2004;9ème arrdt;3
Naissances;2004;14ème arrdt;10623
Naissances;2005;6ème arrdt;0
Naissances;2007;8ème arrdt;2
Naissances;2007;14ème arrdt;10199
Naissances;2008;13ème arrdt;3321
Naissances;2009;9ème arrdt;4
Naissances;2009;10ème arrdt;2481
Naissances;2010;10ème arrdt;2563
Naissances;2011;2ème arrdt;1
Naissances;2011;5ème arrdt;3
Naissances;2011;10ème arrdt;2440
Naissances;2012;19ème arrdt;3004
Naissances;2013;11ème arrdt;7
Naissances;2013;20ème arrdt;2786
Naissances;2015;18ème arrdt;2229
Naissances;2016;6ème arrdt;1
Naissances;2017;5ème arrdt;5
Naissances;2019;10ème arrdt;2431
Naissances;2019;12ème arrdt;9648
Naissances;2021;14ème arrdt;10637
Naissances;2022;11ème arrdt;7
Naissances;2022;14ème arrdt;10470
Naissances;2022;17ème arrdt;1157
Reconnaissances;2006;13ème arrdt;1276
Reconnaissances;2007;19ème arrdt;1107
Reconnaissances;2008;10ème arrdt;606
Reconnaissances;2013;15ème arrdt;841
Reconnaissances;2014;5ème arrdt;160
Reconnaissances;2015;10ème arrdt;561
Reconnaissances;2015;17ème arrdt;547
Reconnaissances;2016;11ème arrdt;630
Reconnaissances;2018;2ème arrdt;92
Reconnaissances;2020;19ème arrdt;717
Reconnaissances;2021;6ème arrdt;65
Reconnaissances;2021;20ème arrdt;594
Reconnaissances;2022;8ème arrdt;118
Reconnaissances;2022;12ème arrdt;598
Reconnaissances;2022;16ème arrdt;200
Reconnaissances;2022;19ème arrdt;389
Mariages;2004;20ème arrdt;954
Mariages;2005;12ème arrdt;663
Mariages;2007;13ème arrdt;810
Mariages;2008;1er arrdt;101
Mariages;2008;3ème arrdt;231
Mariages;2008;5ème arrdt;277
Mariages;2008;13ème arrdt;756
Mariages;2008;14ème arrdt;544
Mariages;2009;19ème arrdt;921
Mariages;2010;1er arrdt;115
Mariages;2010;13ème arrdt;642
Mariages;2012;10ème arrdt;373
Mariages;2013;15ème arrdt;966
Mariages;2013;16ème arrdt;762
Mariages;2016;6ème arrdt;212
Mariages;2017;9ème arrdt;288
Mariages;2019;20ème arrdt;636
Mariages;2020;9ème arrdt;159
Mariages;2021;20ème arrdt;543
Mariages;2023;13ème arrdt;582
Mariages;2023;20ème arrdt;583
Décès;2004;19ème arrdt;452
Décès;2006;9ème arrdt;106
Décès;2006;19ème arrdt;543
Décès;2007;20ème arrdt;1301
Décès;2008;5ème arrdt;538
Décès;2008;8ème arrdt;130
Décès;2009;10ème arrdt;1382
Décès;2009;11ème arrdt;290
Décès;2011;7ème arrdt;170
Décès;2011;11ème arrdt;246
Décès;2012;1er arrdt;27
Décès;2014;7ème arrdt;145
Décès;2015;13ème arrdt;2228
Décès;2016;8ème arrdt;90
Décès;2017;2ème arrdt;27
Décès;2018;13ème arrdt;2211
Décès;2019;8ème arrdt;88
Décès;2019;9ème arrdt;103
Décès;2021;7ème arrdt;160
Décès;2022;9ème arrdt;105
PACS;2017;2ème arrdt;50
PACS;2017;7ème arrdt;47
PACS;2017;16ème arrdt;108
PACS;2017;17ème arrdt;151
PACS;2019;16ème arrdt;281
Changements de prénom;2019;19ème arrdt;75
Changements de prénom;2020;11ème arrdt;42
Changements de prénom;2021;20ème arrdt;67
Changements de prénom;2023;2ème arrdt;8
Changements de prénom;2023;11ème arrdt;64
Changements de prénom;2023;18ème arrdt;93
Changements de nom (personne majeure);2023;1er arrdt;10
Changements de nom (personne majeure);2023;6ème arrdt;29
Changements de nom (personne majeure);2023;11ème arrdt;122
Naissances;2004;8ème arrdt;5
Naissances;2004;16ème arrdt;1415
Naissances;2008;17ème arrdt;1703
Naissances;2009;17ème arrdt;1510
Naissances;2011;11ème arrdt;1729
Naissances;2012;1er arrdt;1
Naissances;2013;10ème arrdt;2339
Naissances;2013;16ème arrdt;1390
Naissances;2014;6ème arrdt;1
Naissances;2014;7ème arrdt;0
Naissances;2014;17ème arrdt;1569
Naissances;2015;11ème arrdt;6
Naissances;2015;13ème arrdt;3161
Naissances;2016;13ème arrdt;3044
Naissances;2018;9ème arrdt;6
Naissances;2018;15ème arrdt;6548
Reconnaissances;2004;3ème arrdt;191
Reconnaissances;2004;10ème arrdt;897
Reconnaissances;2005;15ème arrdt;1165
Reconnaissances;2005;16ème arrdt;498
Reconnaissances;2006;15ème arrdt;1059
Reconnaissances;2007;3ème arrdt;165
Reconnaissances;2011;6ème arrdt;84
Reconnaissances;2011;9ème arrdt;259
Reconnaissances;2011;17ème arrdt;600
Reconnaissances;2012;10ème arrdt;514
Reconnaissances;2013;5ème arrdt;148
Reconnaissances;2013;6ème arrdt;93
Reconnaissances;2014;9ème arrdt;238
Reconnaissances;2014;15ème arrdt;834
Reconnaissances;2015;11ème arrdt;709
Reconnaissances;2016;5ème arrdt;143
Reconnaissances;2017;2ème arrdt;98
Reconnaissances;2018;15ème arrdt;812
Reconnaissances;2018;16ème arrdt;264
Reconnaissances;2019;16ème arrdt;238
Reconnaissances;2022;3ème arrdt;219
Reconnaissances;2022;5ème arrdt;108
Mariages;2004;1er arrdt;121
Mariages;2005;3ème arrdt;251
Mariages;2005;8ème arrdt;220
Mariages;2006;4ème arrdt;128
Mariages;2006;10ème arrdt;548
Mariages;2006;13ème arrdt;851
Mariages;2009;8ème arrdt;243
Mariages;2010;12ème arrdt;544
Mariages;2012;7ème arrdt;239
Mariages;2013;19ème arrdt;851
Mariages;2014;17ème arrdt;557
Mariages;2015;14ème arrdt;504
Mariages;2016;18ème arrdt;800
Mariages;2018;10ème arrdt;420
Mariages;2018;16ème arrdt;788
Mariages;2019;14ème arrdt;566
Mariages;2019;15ème arrdt;921
Mariages;2023;14ème arrdt;506
Décès;2005;11ème arrdt;301
Décès;2006;3ème arrdt;44
Décès;2006;7ème arrdt;173
Décès;2008;14ème arrdt;1802
Décès;2009;14ème arrdt;1916
Décès;2010;7ème arrdt;163
Décès;2010;15ème arrdt;3280
Décès;2010;16ème arrdt;1004
Décès;2011;19ème arrdt;955
Décès;2012;6ème arrdt;105
Décès;2014;12ème arrdt;1577
Décès;2015;6ème arrdt;117
Décès;2015;7ème arrdt;155
Décès;2015;17ème arrdt;289
Décès;2016;9ème arrdt;95
Décès;2016;13ème arrdt;2192
Décès;2016;17ème arrdt;342
Décès;2017;6ème arrdt;103
Décès;2019;11ème arrdt;302
Décès;2019;17ème arrdt;351
Décès;2021;1er arrdt;40
Décès;2021;10ème arrdt;1424
Décès;2023;4ème arrdt;63
PACS;2018;6ème arrdt;94
PACS;2019;19ème arrdt;578
PACS;2021;7ème arrdt;129
PACS;2021;16ème arrdt;303
PACS;2022;13ème arrdt;523
PACS;2023;6ème arrdt;98
Changements de prénom;2017;11ème arrdt;27
Changements de prénom;2017;17ème arrdt;52
Changements de prénom;2018;13ème arrdt;83
Changements de prénom;2021;1er arrdt;6
Changements de prénom;2021;18ème arrdt;68
Changements de prénom;2022;17ème arrdt;51
Changements de nom (personne majeure);2022;9ème arrdt;45
Changements de nom (personne majeure);2022;10ème arrdt;131
Changements de nom (personne majeure);2022;13ème arrdt;183
Changements de nom (personne majeure);2023;14ème arrdt;173
Naissances;2004;11ème arrdt;2903
Naissances;2004;15ème arrdt;4321
Naissances;2005;1er arrdt;1
Naissances;2005;17ème arrdt;2022
Naissances;2007;4ème arrdt;4
Naissances;2007;10ème arrdt;2248
Naissances;2008;11ème arrdt;865
Naissances;2009;15ème arrdt;5210
Naissances;2009;19ème arrdt;3051
Naissances;2010;2ème arrdt;0
Naissances;2012;2ème arrdt;2
Naissances;2012;13ème arrdt;3736
Naissances;2013;6ème arrdt;0
Naissances;2015;17ème arrdt;1567
Naissances;2016;9ème arrdt;1
Naissances;2018;10ème arrdt;2358
Naissances;2020;15ème arrdt;6226
Naissances;2023;5ème arrdt;4
Reconnaissances;2005;1er arrdt;70
Reconnaissances;2006;10ème arrdt;832
Reconnaissances;2007;8ème arrdt;124
Reconnaissances;2007;15ème arrdt;831
Reconnaissances;2009;4ème arrdt;107
Reconnaissances;2009;6ème arrdt;105
Reconnaissances;2011;13ème arrdt;928
Reconnaissances;2011;18ème arrdt;1216
Reconnaissances;2012;13ème arrdt;953
Reconnaissances;2012;19ème arrdt;1079
Reconnaissances;2014;12ème arrdt;771
Reconnaissances;2017;1er arrdt;55
Reconnaissances;2017;17ème arrdt;487
Reconnaissances;2018;4ème arrdt;95
Reconnaissances;2018;20ème arrdt;727
Reconnaissances;2019;2ème arrdt;85
Reconnaissances;2019;6ème arrdt;74
Reconnaissances;2021;10ème arrdt;552
Reconnaissances;2022;13ème arrdt;623
Reconnaissances;2023;3ème arrdt;237
Reconnaissances;2023;6ème arrdt;66
Mariages;2004;2ème arrdt;146
Mariages;2006;17ème arrdt;612
Mariages;2007;6ème arrdt;228
Mariages;2007;12ème arrdt;513
Mariages;2007;18ème arrdt;943
Mariages;2008;11ème arrdt;606
Mariages;2011;20ème arrdt;597
Mariages;2012;6ème arrdt;219
Mariages;2012;14ème arrdt;535
Mariages;2013;17ème arrdt;526
Mariages;2014;10ème arrdt;452
Mariages;2017;19ème arrdt;811
Mariages;2017;20ème arrdt;745
Mariages;2018;5ème arrdt;263
Mariages;2019;1er arrdt;116
Mariages;2019;9ème arrdt;304
Mariages;2020;11ème arrdt;428
Mariages;2021;14ème arrdt;469
Mariages;2022;6ème arrdt;220
Mariages;2022;9ème arrdt;228
Décès;2004;13ème arrdt;1851
Décès;2005;3ème arrdt;61
Décès;2005;17ème arrdt;354
Décès;2007;15ème arrdt;3184
Décès;2008;4ème arrdt;284
Décès;2008;10ème arrdt;1444
Décès;2008;13ème arrdt;2006
Décès;2009;3ème arrdt;48
Décès;2009;8ème arrdt;116
Décès;2010;5ème arrdt;603
Décès;2011;3ème arrdt;53
Décès;2011;18ème arrdt;1362
Décès;2013;8ème arrdt;94
Décès;2018;2ème arrdt;29
Décès;2018;4ème arrdt;59
Décès;2018;19ème arrdt;1166
Décès;2019;3ème arrdt;42
Décès;2020;2ème arrdt;24
Décès;2021;19ème arrdt;994
PACS;2021;11ème arrdt;816
PACS;2021;20ème arrdt;687
PACS;2023;12ème arrdt;531
PACS;2023;18ème arrdt;760
Changements de prénom;2020;3ème arrdt;12
Changements de prénom;2022;3ème arrdt;15
Changements de prénom;2022;19ème arrdt;75
Changements de prénom;2022;20ème arrdt;65
Changements de nom (personne majeure);2022;1er arrdt;18
Changements de nom (personne majeure);2023;15ème arrdt;152
Naissances;2004;2ème arrdt;1
Naissances;2006;18ème arrdt;2137
Naissances;2007;11ème arrdt;1144
Naissances;2011;8ème arrdt;3
Naissances;2011;14ème arrdt;9804
Naissances;2013;3ème arrdt;0
Naissances;2014;2ème arrdt;0
Naissances;2014;8ème arrdt;4
Naissances;2014;13ème arrdt;3427
Naissances;2016;5ème arrdt;4
Naissances;2016;19ème arrdt;3102
Naissances;2016;20ème arrdt;1869
Naissances;2017;2ème arrdt;1
Naissances;2017;7ème arrdt;1
Naissances;2017;11ème arrdt;9
Naissances;2017;17ème arrdt;1289
Naissances;2018;8ème arrdt;2
Naissances;2018;14ème arrdt;11140
Naissances;2018;18ème arrdt;2141
Naissances;2019;19ème arrdt;3103
Naissances;2020;18ème arrdt;2061
Naissances;2021;2ème arrdt;2
Naissances;2021;7ème arrdt;2
Naissances;2021;10ème arrdt;2200
Naissances;2023;9ème arrdt;1
Reconnaissances;2006;4ème arrdt;124
Reconnaissances;2007;1er arrdt;61
Reconnaissances;2007;9ème arrdt;285
Reconnaissances;2009;3ème arrdt;138
Reconnaissances;2009;9ème arrdt;250
Reconnaissances;2010;8ème arrdt;125
Reconnaissances;2011;4ème arrdt;110
Reconnaissances;2012;3ème arrdt;109
Reconnaissances;2012;5ème arrdt;131
Reconnaissances;2013;14ème arrdt;752
Reconnaissances;2013;17ème arrdt;541
Reconnaissances;2013;20ème arrdt;993
Reconnaissances;2014;1er arrdt;64
Reconnaissances;2015;18ème arrdt;1195
Reconnaissances;2016;7ème arrdt;89
Reconnaissances;2017;4ème arrdt;89
Reconnaissances;2017;13ème arrdt;874
Reconnaissances;2018;18ème arrdt;1151
Reconnaissances;2019;12ème arrdt;646
Reconnaissances;2021;7ème arrdt;93
Reconnaissances;2022;11ème arrdt;534
Reconnaissances;2022;18ème arrdt;1027
Reconnaissances;2023;9ème arrdt;171
Mariages;2004;3ème arrdt;250
Mariages;2004;18ème arrdt;992
Mariages;2005;11ème arrdt;786
Mariages;2006;16ème arrdt;809
Mariages;2007;14ème arrdt;516
Mariages;2008;16ème arrdt;749
Mariages;2010;9ème arrdt;275
Mariages;2011;14ème arrdt;533
Mariages;2013;10ème arrdt;448
Mariages;2015;2ème arrdt;142
Mariages;2015;9ème arrdt;281
Mariages;2015;12ème arrdt;568
Mariages;2015;17ème arrdt;493
Mariages;2015;18ème arrdt;685
Mariages;2015;20ème arrdt;710
Mariages;2016;12ème arrdt;518
Mariages;2016;14ème arrdt;520
Mariages;2019;16ème arrdt;789
Mariages;2020;6ème arrdt;130
Mariages;2022;11ème arrdt;494
Mariages;2023;9ème arrdt;240
Décès;2004;17ème arrdt;339
Décès;2005;13ème arrdt;1956
Décès;2007;2ème arrdt;42
Décès;2008;6ème arrdt;97
Décès;2009;5ème arrdt;569
Décès;2010;20ème arrdt;1166
Décès;2012;9ème arrdt;87
Décès;2012;10ème arrdt;1370
Décès;2013;7ème arrdt;186
Décès;2013;12ème arrdt;1625
Décès;2014;5ème arrdt;666
Décès;2014;18ème arrdt;1370
Décès;2014;19ème arrdt;1138
Décès;2017;10ème arrdt;1341
Décès;2017;14ème arrdt;2088
Décès;2017;18ème arrdt;1676
Décès;2020;11ème arrdt;371
Décès;2020;16ème arrdt;1074
Décès;2021;15ème arrdt;3375
Décès;2022;20ème arrdt;1316
Décès;2023;11ème arrdt;310
Décès;2023;14ème arrdt;2301
PACS;2018;4ème arrdt;125
PACS;2018;9ème arrdt;296
PACS;2018;10ème arrdt;501
PACS;2018;20ème arrdt;711
PACS;2019;3ème arrdt;184
PACS;2019;20ème arrdt;665
PACS;2020;16ème arrdt;237
PACS;2022;5ème arrdt;198
PACS;2023;8ème arrdt;100
Changements de prénom;2017;2ème arrdt;10
Changements de prénom;2018;5ème arrdt;25
Changements de prénom;2018;14ème arrdt;62
Changements de prénom;2020;17ème arrdt;48
Changements de prénom;2021;4ème arrdt;14
Changements de prénom;2023;4ème arrdt;21
Naissances;2004;10ème arrdt;1759
Naissances;2005;14ème arrdt;10503
Naissances;2006;13ème arrdt;3541
Naissances;2007;3ème arrdt;1
Naissances;2007;9ème arrdt;0
Naissances;2007;18ème arrdt;2176
Naissances;2007;20ème arrdt;2237
Naissances;2008;2ème arrdt;1
Naissances;2008;15ème arrdt;5125
Naissances;2009;1er arrdt;2
Naissances;2010;3ème arrdt;4
Naissances;2012;4ème arrdt;1
Naissances;2012;14ème arrdt;10380
Naissances;2013;15ème arrdt;6111
Naissances;2016;2ème arrdt;0
Naissances;2017;12ème arrdt;8871
Naissances;2018;13ème arrdt;3077
Naissances;2022;13ème arrdt;2412
Naissances;2023;3ème arrdt;1
Naissances;2023;18ème arrdt;1814
Reconnaissances;2006;1er arrdt;74
Reconnaissances;2006;3ème arrdt;183
Reconnaissances;2007;12ème arrdt;885
Reconnaissances;2007;17ème arrdt;659
Reconnaissances;2008;1er arrdt;54
Reconnaissances;2009;11ème arrdt;792
Reconnaissances;2013;8ème arrdt;115
Reconnaissances;2013;12ème arrdt;844
Reconnaissances;2014;8ème arrdt;106
Reconnaissances;2014;18ème arrdt;1332
Reconnaissances;2015;15ème arrdt;917
Reconnaissances;2017;18ème arrdt;1206
Reconnaissances;2018;8ème arrdt;133
Reconnaissances;2018;19ème arrdt;789
Reconnaissances;2019;7ème arrdt;76
Reconnaissances;2023;4ème arrdt;1
Reconnaissances;2023;18ème arrdt;966
Mariages;2004;13ème arrdt;806
Mariages;2004;15ème arrdt;1057
Mariages;2006;8ème arrdt;237
Mariages;2007;20ème arrdt;797
Mariages;2008;8ème arrdt;214
Mariages;2009;16ème arrdt;750
Mariages;2010;8ème arrdt;231
Mariages;2010;18ème arrdt;744
Mariages;2012;2ème arrdt;111
Mariages;2012;5ème arrdt;280
Mariages;2013;18ème arrdt;746
Mariages;2014;7ème arrdt;287
Mariages;2015;4ème arrdt;133
Mariages;2015;7ème arrdt;281
Mariages;2016;9ème arrdt;314
Mariages;2016;15ème arrdt;876
Mariages;2018;2ème arrdt;122
Mariages;2018;11ème arrdt;626
Mariages;2018;18ème arrdt;804
Mariages;2020;3ème arrdt;208
Mariages;2020;10ème arrdt;230
Mariages;2022;15ème arrdt;979
Mariages;2022;16ème arrdt;827
Mariages;2023;17ème arrdt;445
Décès;2004;3ème arrdt;56
Décès;2008;17ème arrdt;344
Décès;2008;18ème arrdt;1449
Décès;2008;20ème arrdt;1249
Décès;2009;16ème arrdt;936
Décès;2010;12ème arrdt;1639
Décès;2010;19ème arrdt;858
Décès;2011;5ème arrdt;641
Décès;2012;5ème arrdt;678
Décès;2014;4ème arrdt;55
Décès;2014;17ème arrdt;346
Décès;2015;12ème arrdt;1637
Décès;2017;12ème arrdt;1518
Décès;2019;4ème arrdt;53
Décès;2021;2ème arrdt;28
Décès;2021;11ème arrdt;332
Décès;2022;1er arrdt;31
Décès;2022;4ème arrdt;48
Décès;2022;5ème arrdt;262
Décès;2023;9ème arrdt;78
Décès;2023;16ème arrdt;923
PACS;2018;3ème arrdt;182
PACS;2018;15ème arrdt;1002
PACS;2020;18ème arrdt;798
PACS;2021;1er arrdt;65
PACS;2021;5ème arrdt;219
PACS;2021;12ème arrdt;646
PACS;2021;19ème arrdt;590
PACS;2022;4ème arrdt;127
PACS;2022;8ème arrdt;116
PACS;2023;10ème arrdt;436
Changements de prénom;2017;15ème arrdt;76
Changements de prénom;2017;16ème arrdt;54
Changements de prénom;2018;8ème arrdt;13
Changements de prénom;2018;17ème arrdt;57
Changements de prénom;2019;4ème arrdt;7
Changements de prénom;2020;10ème arrdt;41
Changements de prénom;2020;16ème arrdt;39
Changements de prénom;2021;9ème arrdt;23
Changements de prénom;2023;12ème arrdt;129
Changements de nom (personne majeure);2023;10ème arrdt;97
Naissances;2004;3ème arrdt;4
Naissances;2004;19ème arrdt;2649
Naissances;2006;9ème arrdt;3
Naissances;2007;5ème arrdt;2
Naissances;2007;13ème arrdt;3288
Naissances;2009;7ème arrdt;3
Naissances;2009;20ème arrdt;2279
Naissances;2010;8ème arrdt;2
Naissances;2011;3ème arrdt;5
Naissances;2011;6ème arrdt;1
Naissances;2014;4ème arrdt;1
Naissances;2016;15ème arrdt;5830
Naissances;2016;16ème arrdt;1283
Naissances;2019;11ème arrdt;8
Naissances;2021;13ème arrdt;2798
Naissances;2021;17ème arrdt;1281
Naissances;2023;8ème arrdt;1
Naissances;2023;10ème arrdt;2310
Reconnaissances;2004;7ème arrdt;154
Reconnaissances;2005;2ème arrdt;115
Reconnaissances;2005;11ème arrdt;1445
Reconnaissances;2006;19ème arrdt;1579
Reconnaissances;2008;19ème arrdt;1074
Reconnaissances;2008;20ème arrdt;1020
Reconnaissances;2010;9ème arrdt;251
Reconnaissances;2011;2ème arrdt;116
Reconnaissances;2012;12ème arrdt;774
Reconnaissances;2014;20ème arrdt;980
Reconnaissances;2015;13ème arrdt;913
Reconnaissances;2018;7ème arrdt;96
Reconnaissances;2019;11ème arrdt;583
Reconnaissances;2020;10ème arrdt;542
Reconnaissances;2020;11ème arrdt;520
Reconnaissances;2021;4ème arrdt;1
Reconnaissances;2021;15ème arrdt;747
Reconnaissances;2021;17ème arrdt;529
Reconnaissances;2023;15ème arrdt;604
Mariages;2005;4ème arrdt;133
Mariages;2006;12ème arrdt;591
Mariages;2007;3ème arrdt;216
Mariages;2007;4ème arrdt;161
Mariages;2007;9ème arrdt;326
Mariages;2010;7ème arrdt;259
Mariages;2010;11ème arrdt;584
Mariages;2011;5ème arrdt;300
Mariages;2013;12ème arrdt;550
Mariages;2013;20ème arrdt;733
Mariages;2016;5ème arrdt;273
Mariages;2017;4ème arrdt;148
Mariages;2018;12ème arrdt;512
Mariages;2021;4ème arrdt;0
Mariages;2021;13ème arrdt;609
Mariages;2021;18ème arrdt;678
Mariages;2022;2ème arrdt;0
Décès;2005;9ème arrdt;125
Décès;2007;9ème arrdt;93
Décès;2008;11ème arrdt;302
Décès;2009;15ème arrdt;3336
Décès;2010;1er arrdt;43
Décès;2012;3ème arrdt;65
Décès;2012;19ème arrdt;971
Décès;2013;2ème arrdt;33
Décès;2014;8ème arrdt;83
Décès;2015;1er arrdt;36
Décès;2015;10ème arrdt;1371
Décès;2016;1er arrdt;37
Décès;2018;7ème arrdt;163
Décès;2020;12ème arrdt;1866
Décès;2021;4ème arrdt;47
Décès;2021;6ème arrdt;126
Décès;2022;10ème arrdt;1425
PACS;2017;9ème arrdt;126
PACS;2018;12ème arrdt;770
PACS;2018;17ème arrdt;734
PACS;2019;10ème arrdt;488
